Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
WA State Holocaust Ed Center,(206) 774-2201,www.wsherc.org,6000,Downtown,Y,Multi-use,,O,2006,0,1989,1,0,0,,,Y,0,Y,N,,,Y,5,,,,,,,0,2031 3rd Ave Seattle WA 98121,"(47.612825299999997, -122.34222560000001)"
Washington Hall,(206) 316-7613,www.washingtonhall.org,7000,Central District,Y,Multi-use,2009,O,1908,0,1973,0,1,349,N,0,N,20,Y,Y,Y,,Y,5,,,,,,,0,153 14th Ave Seattle WA 98122,"(47.60284, -122.31458739999999)"
Flatcolor Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77 S. Main St. Seattle WA 98104,"(47.599935600000002, -122.3353103)"
West of Lenin,(206) 352-1777,www.westoflenin.com,3400,Fremont,N,Multi-use,2011,O,1962,0,2011,1,2,0,Y,590,Partial,3,Y,Y,N,,N,5,,,,,,,0,203 N 36th St Seattle WA 98103,"(47.6524012, -122.3563132)"
Youngstown Cultural Arts Center,(206) 935-2999,www.youngstownarts.org,18035,West Seattle,Y,Multi-use,2005,O,1917,0,2006,0,2,200,Y,1800,Y,54,Y,Y,N,,Y,5,,,,,,,0,4408 Delridge Way SW Seattle WA 98106,"(47.563577649999999, -122.3630304)"
Century Ballroom,(206) 324-7263,www.centuryballroom.com,11300,Capitol Hill,N,Multi-use,1996,R,1908,2017,1996,2,2,399,N,0,Partial,0,Y,Y,Y,,N,4,,,,,,,0,915 E Pine St Seattle WA 98122,"(47.615126500000002, -122.3198707)"
Town Hall,(206) 652-4255,www.townhallseattle.org,37000,First Hill,Y,Multi-use,1999,O,1916,0,1999,0,3,1300,N,0,Y,5,Y,Y,Y,,Y,5,,,,,,,0,1119 8th Ave Seattle WA 98101,"(47.6090096, -122.3299408)"
The Josephine and Friends of NW 65th (CLOSED),(206) 543-0065,www.josephinebaker-bonaparte.blogspot.com,,Ballard,Y,Multi-use,,R,1932,,,0,1,600,N,0,N,0,Y,,N,,,2,,,,,,2/1/15,1,608 NW 65th St Seattle WA 98117,"(47.676216500000002, -122.3638347)"
Avast Recording Co,(206) 633-3926,www.avastrecording.com,7500,Greenwood,N,Music,2004,O,1927,0,1989,1,0,0,N,0,Partial,5,Y,N,N,,N,4,,,,,,,0,601 NW 80th St Seattle WA 98117,"(47.686712800000002, -122.3636508)"
Columbia City Theater,(206) 722-3009,www.columbiacitytheater.com,1820,Columbia City,N,Music,2010,O,1917,0,2010,0,1,120,,,Partial,0,Y,Y,Y,,N,4,,,,,,,0,4916 Rainier Ave S Seattle WA 98118,"(47.557320799999999, -122.2844836)"
Crybaby Studios,(206) 660-0117,www.crybabystudios.com,14000,Capitol Hill,N,Music,1998,R,1910,2018,1998,0,0,0,N,0,,0,Y,Y,N,,N,1,,,,,,,0,11th Ave Seattle WA 98122,"(47.612932800000003, -122.3181106)"
Egg Studios/Popllama Products,,www.eggstudios.net,750,Ravenna,N,Music,1988,O,1929,0,1981,1,0,0,N,0,,1,Y,N,N,,N,5,,,,,,,0,,
El Corazon,(206) 262-0482,www.elcorazonseattle.com,8000,Eastlake,N,Music,2004,R,1910,2024,2004,0,0,0,N,0,,20,Y,N,Y,,N,4,,,,,,,0,109 Eastlake Ave E Seattle WA 98109,"(47.618797999999998, -122.3293302)"
Flying House Productions,(206) 323-0750,www.flyinghouse.org,4000,First Hill,Y,Music,1993,O,1960,0,1979,2,0,0,N,0,Y,12,Y,Y,N,,Y,5,,,,,,,0,319 12th Ave Seattle WA 98122,"(47.605029549999998, -122.31715730000001)"
Georgetown Records and Fantagraphics Books,(206) 762-5638,www.georgetownrecords.net,1200,Georgetown,N,Music,2004,R,1911,2016,2004,0,0,0,Y,500,Y,0,Y,N,N,,N,4,,,,,,,0,1201 S Vale St Seattle WA 98108,"(47.549085900000001, -122.3169537)"
Gravelvoice,,www.scottcolburn.com,1000,Ballard,N,Music,2003,O,1908,0,1988,10,0,0,N,0,N,0,N,N,N,,N,5,,,,,,,0,,
Haller Lake United Methodist Church,(206) 362-5383,www.hallerlakeumc.org,1200,Haller Lake,Y,Music,1952,O,1952,0,1912,0,0,0,N,0,Y,100,Y,N,N,,N,5,,,,,,,0,13055 1st Ave NE Seattle WA 98125,"(47.724651450000003, -122.3293843)"
Hollow Earth Radio,(206) 588-5437,www.hollowearthradio.org,1000,Central District,Y,Music,2010,R,1900,2016,2006,0,0,0,Y,25,N,0,Y,N,N,,Y,3,,,,,,,0,2018 A E. Union St Seattle WA 98122,"(47.612918399999998, -122.316028)"
Jazz Night School,(206) 722-6061,www.jazznightschool.org,2000,Hillman City,Y,Music,2008,R,1916,0,2008,0,0,0,N,0,Partial,0,Y,Y,N,,,3,,,,,,,0,3916 S Morgan St Seattle WA 98118,"(47.544067300000002, -122.2824356)"
KXSU Radio,(206) 296-6000,www.ksubseattle.org,500,First Hill,Y,Music,2005,O,1950,0,1996,1,1,,N,0,,0,N,N,N,,N,5,,,,,,,0,901 12th Ave Seattle WA 98122,"(47.610655299999998, -122.3171103)"
Music Center of Northwest,(206) 526-8443,www.mcnw.org,7500,Greenwood,Y,Music,1995,R,1952,2024,1988,1,1,180,N,0,Partial,30,Y,Y,N,,Y,5,,,,,,,0,901 N 96th St Seattle WA 98103,"(47.698399799999997, -122.34704790000001)"
Nectar,(206) 632-2020,www.nectarlounge.com,9999,Fremont,N,Music,2003,R,1959,2029,2003,0,0,0,N,0,Y,10,Y,N,Y,,N,1,,,,,,,0,412 N 36th St Seattle WA 98103,"(47.652355, -122.3538429)"
Neumos/Barboza,(206) 709-9442,www.neumos.com,12500,Capitol Hill,N,Music,1993,R,1927,2018,1993,0,2,940,N,0,Partial,0,Y,N,Y,,N,5,,,,,,,0,925 E Pike St Seattle WA 98122,"(47.613959000000001, -122.319574)"
Orbit Audio,(206) 381-1244,www.orbitaudiorocks.com,2200,Pioneer Square,N,Music,2001,R,1910,2018,1993,2,0,0,N,0,,,N,N,N,,N,4,,,,,,,0,219 1st Ave S Seattle WA 98104,"(47.6002492, -122.33462489999999)"
Rockit Community Arts and Garden House,(206) 323-7733,www.rockitspace.org,200,Beacon Hill,Y,Music,2010,R,1883,,2009,1,0,80,N,0,Partial,20,Y,Y,Y,,Y,3,,,,,,,0,2336 15th Ave S. Seattle WA 98144,"(47.581760750000001, -122.3130944)"
Royal Room,(206) 906-9920,www.theroyalroomseattle.com,3200,Columbia City,N,Music,2011,R,1937,2017,2011,0,0,0,N,0,Y,0,Y,N,Y,,N,3,,,,,,,0,5000 Rainier Ave S Seattle WA 98118,"(47.556924000000002, -122.2843057)"
Sea Monster Lounge,(206) 992-1120,www.seamonsterlounge.com,1250,Wallingford,N,Music,2002,R,1925,2023,2002,0,1,50,Y,350,Y,,Y,N,Y,,N,5,,,,,,,0,2202 N 45th St Seattle WA 98103,"(47.661492899999999, -122.33229729999999)"
Benaroya Hall,(206) 215-4800,www.seattlesymphony.org/benaroya,362250,Downtown,Y,Music,1998,R,1998,2083,1998,0,3,3100,Y,210000,Y,430,Y,Y,Y,,N,4,,,,,,,0,200 University St Seattle WA 98101,"(47.608127949999997, -122.33697479999999)"
Sonic Boom,(206) 297-2666,www.sonicboomrecords.com,2200,Ballard,N,Music,2001,R,1920,2016,1997,4,0,0,N,0,Partial,0,Y,N,N,,N,4,,,,,,,0,2209 NW Market St Seattle WA 98107,"(47.668522400000001, -122.38510650000001)"
Sunset Tavern,(206) 784-4880,www.sunsettavern.com,2000,Ballard,N,Music,2000,R,1908,2020,2000,0,0,0,N,0,Y,0,Y,N,Y,,N,5,,,,,,,0,5433 Ballard Ave NW Seattle WA 98107,"(47.668275600000001, -122.3860837)"
The Chapel Performance Space at Good Shepherd Center,(206) 547-8127,www.historicseattle.org/projects/gsc.aspxâ€Ž,3600,Wallingford,Y,Music,2007,O,1907,0,1974,0,1,150,N,0,Y,100,N,Y,N,,N,5,,,,,,,0,4649 Sunnyside Ave N 4th floor Seattle WA 98103,"(47.664097699999999, -122.33104489999999)"
Tim's Tavern,(206) 789-9005,www.timstavernseattle.com,1100,Greenwood,N,Music,2011,R,1935,2016,1934,0,0,0,N,0,Y,14,Y,N,Y,,N,5,,,,,,,0,602 N 105th St Seattle WA 98133,"(47.705199, -122.3509853)"
Tractor Tavern,(206) 789-3599,www.tractortavern.com,4000,Ballard,N,Music,1993,R,1910,,1993,0,1,299,N,0,Partial,0,Y,N,Y,,N,4,,,,,,,0,5213 Ballard Ave NW Seattle WA 98107,"(47.665709499999998, -122.3828003)"
Triple Door Theater and Musicquarium Lounge,(206) 838-4333,www.thetripledoor.net,18656,Downtown,N,Music,2003,O,1926,0,2003,0,1,275,N,0,Y,,Y,Y,Y,,N,5,,,,,,,0,216 Union St Seattle WA 98101,"(47.608643899999997, -122.33768499999999)"
5th Avenue Theatre,(206) 625-1900,www.5thavenue.orgâ€Ž,44154,Downtown,Y,Performance,1979,R,1926,2034,1979,0,1,2100,N,0,Y,0,Y,Y,Y,,Y,5,,,,,,,0,1308 5th Ave Seattle WA 98101,"(47.609174899999999, -122.3339671)"
A Contemporary Theatre (ACT),(206) 292-7660,www.acttheatre.org,21360,Downtown,Y,Performance,1995,Other,1926,0,1965,1,5,1153,N,0,Y,0,Y,Y,Y,,Y,5,,,,,,,0,700 Union St Seattle WA 98101,"(47.6108495, -122.3323316)"
ARC Dance,(206) 352-0798,www.arcdance.org,9000,Crown Hill,Y,Performance,2004,R,1950,2023,1998,0,1,150,N,0,Y,0,Y,Y,N,,N,3,,,,,,,0,9250 14th Ave NW Seattle WA 98117,"(47.697390900000002, -122.3736435)"
Caravan Gallery-Parlor and Roadside Attractions,(206) 799-1180,www.acaravan.com,260,West Seattle,N,Performance,2011,O,1974,0,2008,0,1,25,Y,200,N,0,Y,Y,N,,N,5,,,,,,,0,,
Columbia City Gallery SEEDArts,(206) 760-9843,www.columbiacitygallery.com,3518,Columbia City,Y,Performance,1998,O,1921,0,1975,0,1,252,,,Y,15,Y,Y,Y,,Y,5,,,,,,,0,4864 Rainier Ave S Seattle WA 98118,"(47.558197, -122.28500940000001)"
Crocodile,(206) 441-4618,www.thecrocodile.com,6400,Belltown,N,Performance,1990,R,1924,None,2008,0,2,500,N,0,Y,0,Y,N,Y,,N,4,,,,,,,0,2200 2nd Ave Seattle WA 98121,"(47.6135576, -122.3442489)"
Duwamish Longhouse,(206) 431-1582,www.duwamishtribe.org,6044,West Seattle,Y,Performance,2008,O,2009,0,1982,5,0,0,Y,700,Y,26,Y,Y,N,,N,4,,,,,,,0,4705 W Marginal Way SW Seattle WA 98106,"(47.560935450000002, -122.352001)"
Empty Sea Studios,(206) 329-9442,www.elcentrodelaraza.com,1400,Phinney Ridge,N,Performance,2009,R,1914,2016,2005,1,1,40,N,0,N,0,Y,Y,Y,,N,3,,,,,,,0,2524 16th Ave S Seattle WA 98144,"(47.580339799999997, -122.31129780000001)"
Erickson Theater,(206) 427-5207,www.seattlecentral.edu,7500,Capitol Hill,Y,Performance,2007,R,2004,,2004,2,1,141,N,0,Y,0,Y,,N,,N,1,,,,,,,0,1524 Harvard Ave Seattle WA 98122,"(47.6148138, -122.32173779999999)"
Freehold Theatre and Lab Studio,(206) 323-7499,www.freeholdtheatre.org,4800,Belltown,Y,Performance,2008,R,1960,,1991,2,1,49,N,0,N,0,Y,Y,N,,Y,4,,,,,,,0,2222 2nd Ave Suite 200 Seattle WA 98121,"(47.613818199999997, -122.3448891)"
Fremont Abbey Arts Center,(206) 414-8325,www.fremontabbey.org,8500,Fremont,Y,Performance,2005,R,1914,2014,2005,1,2,250,Y,1400,Y,0,Y,Y,Y,,Y,4,,,,,,,0,4272 Fremont Ave N Seattle WA 98103,"(47.659193100000003, -122.3498604)"
Full Tilt Ballard,(206) 297-3000,www.fulltilticecream.com,1300,Ballard,N,Performance,2008,R,,2021,2008,0,0,0,Y,,Y,0,Y,Y,Y,,N,5,,,,,,,0,5453 Leary Ave NWâ€Ž Seattle WA 98107,"(47.667918499999999, -122.38389410000001)"
Full Tilt Columbia City,(206) 226-2740,www.fulltilticecream.com,1100,Columbia City,N,Performance,2008,R,,2021,2008,0,0,0,Y,,Y,0,Y,Y,Y,,N,5,,,,,,,0,5041 Rainier Ave S Seattle WA 98118,"(47.555984899999999, -122.2840929)"
Geisa Dutra Piano Studio,(206) 295-6590,www.geisadutra.com,1700,Greenwood,N,Performance,1996,O,1940,0,1996,1,0,0,N,0,,0,Y,Y,Y,,N,4,,,,,,,0,Â 8735 Palatine Ave N Seattle WA 98103,"(47.6934167, -122.3569439)"
Ghost Light Theatricals/The Ballard Underground,(206) 395-5458,www.ghostlighttheatricals.org,2682,Ballard,Y,Performance,2009,R,1925,2016,2002,0,1,85,Y,200,,0,Y,Y,Y,,Y,5,,,,,,,0,2220 NW Market Street Lower Level Seattle WA 98107,"(47.669100100000001, -122.3857909)"
Kenyon Hall,(206) 937-3613,www.kenyonhall.org,1200,West Seattle,Y,Performance,1992,O,1916,0,1992,0,1,125,N,0,Partial,1,Y,Y,N,,N,5,,,,,,,0,7904 35th Ave SW Seattle WA 98126,"(47.531661700000001, -122.3761768)"
L.A.B at Seattle Drum School of Music,(206)364-8815,www.seattledrumschool.com,8300,Pinehurst,N,Performance,1986,R,1928,It's month to month.,1986,0,1,90,N,0,Partial,37,Y,N,N,,N,1,,,,,,,0,12510 15th Ave NE Seattle WA 98125,"(47.7196359, -122.3125577)"
Lee Center for the Arts,(206) 296-5373,www.seattleu.edu/artsci/departments/fine-arts/venues/lee-center,10000,Capitol Hill,N,Performance,2006,O,1930,0,1890,3,1,180,Y,1500,Y,50,Y,N,Y,,N,5,,,,,,,0,901 12th Ave Seattle WA 98122,"(47.610655299999998, -122.3171103)"
New City Theater,(206) 271-4430,www.newcitytheater.org,1950,Central District,Y,Performance,2008,R,1935,2015,1981,3,1,49,,,Partial,0,Y,Y,Y,,N,5,,,,,,,0,1404 18th Ave Seattle WA 98122,"(47.613101200000003, -122.3086934)"
Northwest Puppet Center/ Carter Family Marionettes Fremont,(206) 523-2579,www.nwpuppet.org,8000,Fremont,Y,Performance,2012,O,1915,0,1984,2,0,0,Y,,Partial,0,Y,N,Y,,Y,5,,,,,,,0,,
On the Boards,(206) 217-9886,www.ontheboards.org,27500,Uptown,Y,Performance,1996,O,1912,0,1978,1,2,404,N,0,Y,39,Y,Y,Y,,Y,5,,,,,,,0,100 W Roy St Seattle WA 98119,"(47.6259637, -122.35820529999999)"
Open Flight Studio,(206) 632-0067,www.openflightstudio.org,1000,University District,,Performance,2001,R,,2015,2001,0,0,0,N,0,,2,N,Y,N,,N,3,,,,,,,0,4205 University Way NE Seattle WA 98105,"(47.6585538, -122.3133686)"
Rendezvous & Jewel Box Theater,(206) 441-5823,www.jewelboxtheater.com,2800,Belltown,N,Performance,2002,O,1927,0,1927,1,2,113,N,0,Y,0,Y,Y,Y,,N,5,,,,,,,0,2322 2nd Ave Seattle WA 98121,"(47.614713999999999, -122.3462234)"
Sand Point Arts & Cultural Exchange,(206) 245-5457,www.spaceatmagnuson.org,37125,Sand Point,Y,Performance,2012,Other,1938,,1994,4,1,500,Y,800,Partial,,Y,Y,Y,,N,4,,,,,,,0,7400 Sand Point Way NE Suite 203 S. Seattle WA 98115,"(47.682132350000003, -122.26329819999999)"
Satori Lab in Inscape,(513) 600-0815,www.satori-group.com,,International District,Y,Performance,2012,R,1932,2019,2007,1,1,75,Y,400,Y,0,N,Y,Y,,Y,4,,,,,,,0,815 Seattle Blvd S Seattle WA 98134,"(47.595116949999998, -122.3270859)"
School of Acrobatics & New Circus Arts (SANCA),(206) 652-4433,www.sancaseattle.org,27000,Georgetown,Y,Performance,2006,R,1965,2014,2004,1,1,130,N,0,Partial,20,Y,Y,N,,Y,4,,,,,,,0,674 S Orcas St Seattle WA 98108,"(47.551805799999997, -122.3246163)"
Seattle Center Key Arena,(206) 684-7200,www.keyarena.com,130000,Seattle Center in Uptown,N,Performance,1998,Other,1962,0,1962,0,1,16000,N,0,Y,60,Y,Y,Y,,N,4,,,,,,,0,305 Harrison Street Seattle WA 98109,"(47.622149999999998, -122.355423)"
Seattle Center McCaw Hall,(206) 733-9725,www.mccawhall.com,40000,Seattle Center in Uptown,Y,Performance,2003,O,2003,0,2002,0,2,,N,0,Y,1000,Y,Y,Y,,,5,,,,,,,0,321 Mercer St Seattle WA 98109,"(47.623954300000001, -122.3507651)"
Seattle Center Seattle Children's Theatre,(206) 441-3322,www.sct.org,65000,Seattle Center in Uptown,Y,Performance,1993,R,1993,2013,1975,1,2,756,N,0,Y,0,Y,Y,N,,Y,4,,,,,,,0,201 Thomas St Seattle WA 98109,"(47.620443399999999, -122.35250720000001)"
Seattle Center Seattle Repertory Theatre at Leo K,(206) 443-2222,www.seattlerep.org,65000,Seattle Center in Uptown,Y,Performance,1983,Other,1983,2026,1963,1,2,1126,N,0,Y,23,Y,Y,Y,,Y,5,,,,,,,0,155 Mercer St Seattle WA 98109,"(47.623846450000002, -122.35359630000001)"
Seattle Center SIS Productions/ReAct & Pork Filled Players at Prima Vera Arts Center,(206) 323-9443,www.sis-productions.org,3023,Seattle Center in Uptown,Y,Performance,2006,Other,1961,It's month to month.,1998,0,0,49,Y,,N,14,Partial,Y,N,,Y,2,,,,,,,0,112 5th Ave N Seattle WA 98109,"(47.619057400000003, -122.34736340000001)"
Seattle Center Vera Project,(206) 956-8372,www.theveraproject.org,128877,Seattle Center in Uptown,Y,Performance,2007,R,1962,2017,2001,3,1,362,Y,13300,Y,0,Y,N,N,,Y,5,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.620568550000002, -122.35049100000001)"
Seattle Center/Center House Theatre,(206) 684-7200,www.seattlecenter.com,22086,Seattle Center in Uptown,Y,Performance,1999,Other,1934,0,1999,0,3,367,Y,480,Y,0,N,Y,N,,Y,5,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.620568550000002, -122.35049100000001)"
Seattle Central Community College Broadway Performance Hall,(206) 325-3113,www.broadwayperfhall.com,20000,Capitol Hill,,Performance,1979,Other,1979,0,,0,1,295,N,0,Y,,Y,Y,N,,N,5,,,,,,,0,1625 Broadway Seattle WA 98122,"(47.615758100000001, -122.321786)"
Seattle Conservatory of Music,(206) 632-6715,www.seattleconservatory.org,1000,Wedgwood,Y,Performance,2000,R,1905,,1993,1,0,0,N,0,Y,7,Y,N,N,,N,5,,,,,,,0,4038 Stone Way N Seattle WA 98103,"(47.656517000000001, -122.342033)"
Seattle Public Theater,(206) 524-1300,www.seattlepublictheater.org,2400,Green Lake,Y,Performance,2001,R,1928,,1988,0,1,165,N,0,Y,0,N,N,N,,Y,4,,,,,,,0,7312 Green Lake Trail Seattle WA 98103,"(47.682538000000001, -122.34083)"
Showbox SODO,(206) 628-3151,www.showboxpresents.com,22000,SODO,N,Performance,2007,R,,2022,2007,0,1,1800,N,0,Partial,16,Y,N,Y,,N,1,,,,,,,0,1700 1st Ave South Seattle WA 98134,"(47.587891599999999, -122.33394029999999)"
Skylark CafÃ© & Club,(206) 935-2111,www.skylarkcafe.com,2200,West Seattle,N,Performance,2006,R,1903,2024,2012,0,0,80,Y,400,Y,20,Y,N,Y,,N,5,,,,,,,0,3803 Delridge Way SW Seattle WA 98106,"(47.570003800000002, -122.36252349999999)"
Spectrum Dance Theater,(206) 325-4161,www.spectrumdance.org,4000,Madrona,Y,Performance,1980,R,1900,0,1980,0,1,85,,,N,0,Y,Y,N,,Y,5,,,,,,,0,800 Lake Washington Blvd Seattle WA 98122,"(47.610133699999999, -122.2825706)"
St Rigsby and His Amazing Silhouettes,,www.corykelleycreative.com/sgtrigsby,46,Central District,Y,Performance,2012,R,,It's month to month.,1998,4,0,0,N,0,N,0,N,N,N,,N,3,,,,,,,0,,
STG Moore Theatre,(206) 467-5510,www.stgpresents.org/mooreâ€Ž,30080,Belltown,Y,Performance,1992,R,1907,,1991,1,1,1804,N,0,Y,0,Y,Y,Y,,Y,5,,,,,,,0,1932 2nd Ave Seattle WA 98101,"(47.611303200000002, -122.340846)"
STG Neptune Theatre,(206) 682-1414,www.stgpresents.org/neptuneâ€Ž,16854,University District,Y,Performance,2010,R,1921,,1991,1,1,850,N,0,Y,0,Y,Y,Y,,Y,5,,,,,,,0,1303 NE 45th St Seattle WA 98105,"(47.660971400000001, -122.3138972)"
STG Paramount Theatre,(206) 902-5500,www.stgpresents.org/paramount,112297,Downtown,Y,Performance,1991,O,1928,0,1991,0,1,2804,N,0,Y,0,Y,Y,Y,,Y,5,,,,,,,0,911 Pine St Seattle WA 98101,"(47.613243699999998, -122.331356)"
Stone Soup Theatre/DownStage Theatre,(206) 388-9212,www.stonesouptheatre.org,980,Fremont,Y,Performance,2008,R,,It's month to month.,1996,1,1,50,N,0,Partial,0,Y,Y,N,,N,3,,,,,,,0,4029 Stone Way N Seattle WA 98103,"(47.656143299999997, -122.3426065)"
Taproot Theatre,(206) 781-9707,www.taproottheatre.org,22000,Greenwood,Y,Performance,1997,O,1930,0,1976,3,2,346,N,0,Y,1,Y,,Y,,Y,5,,,,,,,0,204 N 85th St Seattle WA 98103,"(47.690841200000001, -122.3562513)"
Teatro ZinZanni,(206) 802-0015,www.zinzanni.com/seattle,28000,Uptown,Y,Performance,2006,R,2006,2015,1998,2,1,285,N,0,Y,0,Y,N,Y,,N,4,,,,,,,0,222 Mercer St Seattle WA 98109,"(47.624925900000001, -122.3518443)"
The Market Theater,(206) 587-2414,www.unexpectedproductions.org,4000,Downtown,Y,Performance,1991,R,1890,2023,1983,4,1,220,,,Y,0,Y,Y,Y,,Y,5,,,,,,,0,1428 Post Alley Seattle WA 98101,"(47.609858899999999, -122.34174160000001)"
Theater Schmeater,(206) 324-5801,www.schmeater.org,3000,Belltown,Y,Performance,,R,2008,2018,1991,1,1,48,Y,,Y,0,Y,Y,,,Y,3,,,,,,,0,1500 Summit Ave Seattle WA 98122,"(47.614210999999997, -122.325396)"
Theatre Off Jackson,(206) 340-1049,www.theatreoffjackson.org,16000,International District,Y,Performance,2005,R,1915,2014,2005,0,2,285,,,Y,0,Y,Y,Y,,Y,1,,,,,,,0,409 7th Ave S Seattle WA 98104,"(47.5988665, -122.3239595)"
Trinity Parish Church,(206) 332-7908,www.theatre912.com,2000,First Hill,N,Performance,2009,R,,,2007,1,1,99,N,0,Y,200,Y,N,N,,N,4,,,,,,,0,609 8th Ave Seattle WA 98104,"(47.605225099999998, -122.32622809999999)"
Tula's,(206) 443-4221,www.tulas.com,3000,Belltown,N,Performance,1993,R,1950,2014,1993,0,1,96,N,0,,0,Y,N,Y,,N,3,,,,,,,0,2214 2nd Ave Seattle WA 98121,"(47.613610799999996, -122.3444191)"
Unified Outreach Youth Arts,(206) 371-1139,www.unifiedoutreach.com,4480,West Seattle,Y,Performance,2003,R,1950,2017,1999,1,0,0,Y,100,Partial,20,N,N,N,,N,4,,,,,,,0,4401 42nd Ave SW Seattle WA 98116,"(47.56452925, -122.3858692)"
University of Washington Glenn Hughes Penthouse Theatre,(206) 543-5140,www.depts.washington.edu/uwdrama/performances/venues.shtml,3000,University District,,Performance,1938,Other,1939,0,1937,0,1,160,N,0,Partial,,Y,N,N,,N,5,,,,,,,0,17th Avenue NE and NE 45th St Seattle WA 98145,"(47.658765000000002, -122.3178929)"
University of Washington Hutchison Hall,(206) 543-5140,www.depts.washington.edu/uwdrama/performances/venues.shtml,52000,Universtiy District,,Performance,1938,Other,1927,0,1937,0,3,200,N,0,Partial,,Y,N,N,,N,5,,,,,,,0,NE Pacific St Seattle WA 98195,"(47.653658100000001, -122.31686790000001)"
University of Washington Jones Playhouse,(206)543-4880,www.depts.washington.edu/uwdrama/performances/venues.shtml,8000,University District,,Performance,1938,Other,1930,0,1937,0,1,180,N,0,Partial,,Y,N,N,,N,5,,,,,,,0,4045 University Way NE Seattle WA 98105,"(47.656665699999998, -122.3135544)"
Vachon Gallery,(206) 296-2340,www.seattleu.edu/artsci/departments/fine-arts/venues/vachon,2000,First Hill,Y,Performance,2008,O,1910,0,2008,0,0,0,Y,,Y,,N,Y,Y,,N,5,,,,,,,0,1000 E. Madison St Seattle WA 98122,"(47.612057149999998, -122.31914810000001)"
Velocity Dance Center,(206) 325-8773,www.velocitydancecenter.org,5000,Capitol Hill,Y,Performance,2010,R,,2018,1995,2,1,98,N,0,Y,0,Y,Y,N,,Y,5,,,,,,,0,1621 12th Ave Seattle WA 98122,"(47.6156632, -122.3171739)"
Volunteer Park Ampitheater,(206) 684-4080,www.seattle.gov/parks/parkspaces/volpark.htm,400,Capitol Hill,,Performance,,O,,0,,0,1,,N,0,,50,,Y,N,,N,5,,,,,,,0,1247 15th Ave E Seattle WA 98112,"(47.632052399999999, -122.3127683)"
Washington Ensemble Theatre,(206) 325-5105,www.washingtonensemble.org,800,Capitol Hill,Y,Performance,2003,R,,It's month to month.,2003,0,1,49,Y,,N,0,Y,Y,Y,,Y,4,,,,,,,0,608 19th Ave E Seattle WA 98112,"(47.624708599999998, -122.307185)"
Northwest Puppet Center/ Carter Family Marionettes Maple Leaf,(206) 523-2579,www.nwpuppet.org,4000,Maple Leaf,Y,Performance,1993,O,1929,0,1984,2,1,220,Y,2000,Partial,0,Y,N,Y,,Y,5,,,,,,,0,9123 15th Ave NE Seattle WA 98115,"(47.695568350000002, -122.3124687)"
4Culture in Tashiro Kaplan,(206) 296-7580,www.4culture.org,,Pioneer Square,,Service,2005,R,1919,2034,1967,2,0,0,Y,1000,Y,0,Y,Y,Y,,N,5,,,,,,,0,101 Prefontaine Pl S Seattle WA 98104,"(47.601435199999997, -122.3300625)"
ALTspace,(206) 424-7863,www.airlighttimespace.org,2500,Central District,Y,Studios,2010,R,1910,2015,2011,0,0,0,N,0,,0,Y,N,N,,N,4,,,,,,,0,2318 E Cherry St Seattle WA 98122,"(47.6081565, -122.3018854)"
AudioLogic,(206) 817-8760,www.audiologicinc.com,1450,Lake City,N,Studios,1993,R,1935,None,1993,0,0,0,N,0,,0,,N,N,,N,2,,,,,,,0,12047 31st Ave NE Seattle WA 98125,"(47.717028599999999, -122.29556940000001)"
Avalon Glassworks,(206) 937-6369,www.avalonglassworks.com,1300,West Seattle,N,Studios,2002,R,1922,None,1992,0,0,0,Y,550,N,1,Y,N,N,,N,4,,,,,,,0,2914 SW Avalon Way Seattle WA 98126,"(47.570756600000003, -122.3710219)"
Inscape Building,(206) 458-2716,www.inscapearts.org,77000,International District,N,Studios,2010,O,1930,0,2010,0,1,100,Y,600,Y,22,Y,Y,N,,N,5,,,,,,,0,815 Seattle Blvd S Seattle WA 98134,"(47.595116949999998, -122.3270859)"
Tryptos Studio Collective,(206) 783-6997,www.artisttrust.org,1600,Ballard,,Studios,2002,R,1911,It's month to month.,2002,0,0,0,Y,300,N,0,N,N,Y,,N,4,,,,,,,0,5227 Leary Ave NW Seattle WA 98107,"(47.666135300000001, -122.3818674)"
57 Biscayne,,www.57biscayne.com,5712,Pioneer Square,N,Visual,2011,R,1890,2026,2011,0,0,0,Y,400,N,0,N,N,N,,N,3,,,,,,,0,110 Cherry St #200 Seattle WA 98104,"(47.6028497, -122.3338684)"
