"City","Country.Subdivision","Country","Starbucks"
"Queensbury","NY","US",2
"Queretaro","QUE","MX",2
"Quincy","IL","US",2
"Quincy","MA","US",2
"Racine","WI","US",2
"Ramona","CA","US",2
"Ramsey","NJ","US",2
"Rancho Mirage","CA","US",2
"Rancho Palos Verdes","CA","US",2
"Ras Al Khaimah","RK","AE",2
"Ratchathewi","10","TH",2
"Reading","MA","US",2
"Red Bluff","CA","US",2
"Rehoboth Beach","DE","US",2
"Reseda","CA","US",2
"Rialto","CA","US",2
"Richfield","MN","US",2
"Richmond","CA","US",2
"Richmond","TX","US",2
"Ridgecrest","CA","US",2
"Rockford","MI","US",2
"Rogers","MN","US",2
"Roissy-en-France","J","FR",2
"Rolling Hills Estates","CA","US",2
"Rome","GA","US",2
"Romeoville","IL","US",2
"Rosario","S","AR",2
"Rosemead","CA","US",2
"Roseville","MI","US",2
"Roswell","NM","US",2
"Royal Palm Beach","FL","US",2
"Saarbruecken","SL","DE",2
"Saginaw","MI","US",2
"Sahagu","26","KR",2
"Sahuarita","AZ","US",2
"Sakai","27","JP",2
"Sakura","12","JP",2
"Salem","VA","US",2
"Salina","KS","US",2
"Salisbury","MD","US",2
"San Fernando","03","PH",2
"San Jacinto","CA","US",2
"San Pablo","CA","US",2
"San Pedro","PH","PH",2
"San Pedro Garza Garcia","NLE","MX",2
"Sand City","CA","US",2
"Sandpoint","ID","US",2
"Sandusky","OH","US",2
"Sandy","OR","US",2
"Sandy Springs","GA","US",2
"Santa Cruz","CA","US",2
"Santa Rosa City","PH","PH",2
"Saugus","CA","US",2
"Saugus","MA","US",2
"Sausalito","CA","US",2
"Savage","MN","US",2
"Scarborough","ON","CA",2
"Schiller Park","IL","US",2
"Seaside","CA","US",2
"Sebastopol","CA","US",2
"Sedona","AZ","US",2
"Selinsgrove","PA","US",2
"Seogwipo","49","KR",2
"Sequim","WA","US",2
"Sevierville","TN","US",2
"Sewell","NJ","US",2
"Shawnee","KS","US",2
"Shawnee Mission","KS","US",2
"Sherman","TX","US",2
"Simpsonville","SC","US",2
"Sioux City","IA","US",2
"Slidell","LA","US",2
"Smithfield","RI","US",2
"Smyrna","TN","US",2
"Snellville","GA","US",2
"Solana Beach","CA","US",2
"Soldotna","AK","US",2
"Solihull","ENG","GB",2
"Sonoma","CA","US",2
"Soquel","CA","US",2
"South Burlington","VT","US",2
"South Elgin","IL","US",2
"South Portland","ME","US",2
"Southgate","CA","US",2
"Southington","CT","US",2
"Spartanburg","SC","US",2
"Spring Hill","FL","US",2
"Springfield","PA","US",2
"Squamish","BC","CA",2
"Sriracha","20","TH",2
"St John","IN","US",2
"St. John's","NL","CA",2
"St. Joseph","MO","US",2
"St. Louis Park","MN","US",2
"St. Peters","MO","US",2
"Staines","ENG","GB",2
"Stanwood","WA","US",2
"Stateline","NV","US",2
"Statesboro","GA","US",2
"Steamboat Springs","CO","US",2
"Stillwater","MN","US",2
"Stillwater","OK","US",2
"Stockholm - Arlanda","AB","SE",2
"Stoney Creek","ON","CA",2
"Stow","OH","US",2
"Streamwood","IL","US",2
"Sudbury","ON","CA",2
"Suffolk","VA","US",2
"Suginami","13","JP",2
"Summerville","SC","US",2
"Sumner","WA","US",2
"Susanville","CA","US",2
"Sutton","ENG","GB",2
"Sylvania","OH","US",2
"Szczecin","ZP","PL",2
"Tachikawa","13","JP",2
"Taguig City","00","PH",2
"Tainan City","TNQ","TW",2
"Takamatsu","37","JP",2
"Takatsuki","27","JP",2
"Tama","13","JP",2
"Tarlac City","03","PH",2
"Taunton","MA","US",2
"Texas City","TX","US",2
"The Dalles","OR","US",2
"Thessaloniki","B","GR",2
"Thiais","J","FR",2
"Thornhill","ON","CA",2
"Tillamook","OR","US",2
"Timonium","MD","US",2
"Tinley Park","IL","US",2
"Tomball","TX","US",2
"Toms River","NJ","US",2
"Topsham","ME","US",2
"TORONTO","ON","CA",2
"Toyohashi","23","JP",2
"Trujillo","LAL","PE",2
"Tsawwassen","BC","CA",2
"Tsuchiura","08","JP",2
"Tulare","CA","US",2
"Twin Falls","ID","US",2
"Uenohara","19","JP",2
"Uijeongbu","41","KR",2
"University City","MO","US",2
"Upper Arlington","OH","US",2
"Utsunomiya","09","JP",2
"Uxbridge","ENG","GB",2
"Valdosta","GA","US",2
"Vantaa","02","FI",2
"Venice","FL","US",2
"Veracruz","VER","MX",2
"Veradale","WA","US",2
"Vestavia Hills","AL","US",2
"Victor","NY","US",2
"Victoria","TX","US",2
"Villa Park","IL","US",2
"Vina del Mar","VS","CL",2
"Wadsworth","OH","US",2
"Walsall","ENG","GB",2
"Wangtonglang","10","TH",2
"Warner Robins","GA","US",2
"Warren","MI","US",2
"Warrenton","OR","US",2
"Warrenville","IL","US",2
"Washougal","WA","US",2
"Watauga","TX","US",2
"Waterloo","IA","US",2
"Watertown","MA","US",2
"Watertown","NY","US",2
"Watsonville","CA","US",2
"Waukegan","IL","US",2
"Wausau","WI","US",2
"Waxahachie","TX","US",2
"Wayne","PA","US",2
"Waynesboro","VA","US",2
"Weatherford","TX","US",2
"Webster","NY","US",2
"Wellesley","MA","US",2
"Wellington","N","NZ",2
"Wentzville","MO","US",2
"Wesley Chapel","FL","US",2
"West Allis","WI","US",2
"West Haven","CT","US",2
"West Jordan","UT","US",2
"West Los Angeles","CA","US",2
"West Melbourne","FL","US",2
"West Milwaukee","WI","US",2
"West Nyack","NY","US",2
"West Unity","OH","US",2
"Westborough","MA","US",2
"Westchester","OH","US",2
"Westland","MI","US",2
"Westminster","MD","US",2
"Wheeling","IL","US",2
"White Plains","NY","US",2
"Whitehorse","YT","CA",2
"Wichita Falls","TX","US",2
"WIESBADEN","HE","DE",2
"Williamsville","NY","US",2
"Wilson","NC","US",2
"Winchester","ENG","GB",2
"Winchester","VA","US",2
"Windsor","CA","US",2
"Windsor","CO","US",2
"Winter Garden","FL","US",2
"Wirral","ENG","GB",2
"Wonju","42","KR",2
"Wood Village","OR","US",2
"Woodbridge","NJ","US",2
"Woodburn","OR","US",2
"Woodhaven","MI","US",2
"Woodland","CA","US",2
"Worcester","MA","US",2
"Wrexham","WLS","GB",2
"Wylie","TX","US",2
"Wyoming","MI","US",2
"Yachiyo","12","JP",2
"Yamaguchi","35","JP",2
"Yardley","PA","US",2
"Yelm","WA","US",2
"Yilan City","ILA","TW",2
"Yonkers","NY","US",2
"Yorba Linda","CA","US",2
"York","ENG","GB",2
"Ypsilanti","MI","US",2
"Yukon","OK","US",2
"Yulee","FL","US",2
"Zacatecas","ZAC","MX",2
"Zanesville","OH","US",2
"Zapopan","JAL","MX",2
"Zaventem","VLG","BE",2
"Zhubei City","HSQ","TW",2
"Zug","ZG","CH",2
"البحرين","13","BH",2
"الدمام","04","SA",2
"بيروت","BA","LB",2
"울산","31","KR",2
"","02","SA",1
"","ALX","EG",1
"保定市","13","CN",1
"慈溪市","33","CN",1
"奉化市","33","CN",1
"海门市","32","CN",1
"海宁市","33","CN",1
"湖州市","33","CN",1
"姜堰市","32","CN",1
"金华市","33","CN",1
"廊坊市","13","CN",1
"上虞市","33","CN",1
"台州市","33","CN",1
"威海市","37","CN",1
"吴江市","32","CN",1
"湘潭市","43","CN",1
"宜兴市","32","CN",1
"镇江市","32","CN",1
"Aachen","NW","DE",1
"Aarau","AG","CH",1
"Aberdeen","NC","US",1
"Aberdeen","SD","US",1
"Abington","MA","US",1
"Absecon","NJ","US",1
"Abu Hamour","DA","QA",1
"Accokeek","MD","US",1
"Acton","MA","US",1
"Addison","IL","US",1
"Adelanto","CA","US",1
"Adrian","MI","US",1
"Afyonkarahisar","03","TR",1
"Agoura","CA","US",1
"Agoura Hills","CA","US",1
"Aichi","23","JP",1
"Aiken","SC","US",1
"Ajman","AJ","AE",1
"Akashi","28","JP",1
"Akishima","13","JP",1
"Al Barsha","DU","AE",1
"Al-Dammam","04","SA",1
"Alamosa","CO","US",1
"Albany","CA","US",1
"Aldaia","AN","ES",1
"Aldergrove","BC","CA",1
"Aldie","VA","US",1
"Alexandria","MN","US",1
"ALHAMBRA","CA","US",1
"Alicante","ZAB","ES",1
"Allendale","MI","US",1
"Allendale","NJ","US",1
"Almada","11","PT",1
"Almondsbury","ENG","GB",1
"Alpine","CA","US",1
"Altoona","IA","US",1
"Altrincham","ENG","GB",1
"Alvin","TX","US",1
"Amadora","11","PT",1
"Amherst","MA","US",1
"Amityville","NY","US",1
"Ampang","10","MY",1
"Amsterdam","NY","US",1
"Anderson","IN","US",1
"Anderson","SC","US",1
"Andover","KS","US",1
"Andover","MA","US",1
"Andover","MN","US",1
"Andrews AFB","MD","US",1
"Angels Camp","CA","US",1
"Anjo","23","JP",1
"Ann Arbor East","MI","US",1
"Annaka","10","JP",1
"Ansonia","CT","US",1
"Antelope","CA","US",1
"Antioch","TN","US",1
"Antwerp","VLG","BE",1
"Aomori","02","JP",1
"Arcueil","J","FR",1
"Ardmore","OK","US",1
"Ardmore","PA","US",1
"Ardsley","NY","US",1
"Arnhem","GE","NL",1
"Arnold","MD","US",1
"Arnold","MO","US",1
"Arroyo Grande","CA","US",1
"Artesia","CA","US",1
"Asahikawa","01","JP",1
"Ashland","KY","US",1
"Ashland","OH","US",1
"Ashland","VA","US",1
"Ashwaubenon","WI","US",1
"Aspen","CO","US",1
"Astoria","OR","US",1
"Atascocita","TX","US",1
"Athens","AL","US",1
"Athens","OH","US",1
"Athens","TN","US",1
"Atizapan de Zaragoza","MX","MX",1
"Auburn","AL","US",1
"Auburn","IN","US",1
"Auburn","MA","US",1
"Auburn","ME","US",1
"Augusta","ME","US",1
"Aurora","MO","US",1
"Austell","GA","US",1
"austin","TX","US",1
"Austintown","OH","US",1
"Avellaneda","B","AR",1
"Avon","CT","US",1
"Avon","OH","US",1
"Awaji","28","JP",1
"Aztec","NM","US",1
"Azumino","20","JP",1
"Babylon","NY","US",1
"Bacolod City","06","PH",1
"Bacoor","40","PH",1
"Baden","AG","CH",1
"Baden-Baden","BW","DE",1
"Bainbridge Island","WA","US",1
"Baker City","OR","US",1
"Bala Cynwyd","PA","US",1
"Balakong","14","MY",1
"Balcones Heights","TX","US",1
"Baldock","ENG","GB",1
"Baldwin Harbor","NY","US",1
"Bali","NU","ID",1
"Balikesir","10","TR",1
"Balikpapan","SM","ID",1
"Bang Kruai","12","TH",1
"Bang Plea","11","TH",1
"Bangkae","10","TH",1
"Bangkhorlaem","10","TH",1
"Bangkhuntien","10","TH",1
"Banglamung","20","TH",1
"Bangluck","10","TH",1
"Bangna","10","TH",1
"Barnes","ENG","GB",1
"Barnet","ENG","GB",1
"Barrington","IL","US",1
"Barrington","RI","US",1
"Bartlett","IL","US",1
"Bartlett","TN","US",1
"Basking  Ridge","NJ","US",1
"Bastrop","TX","US",1
"Batangas City","40","PH",1
"Batavia","IL","US",1
"Batavia","NY","US",1
"Bath","ENG","GB",1
"Bay Shore","NY","US",1
"Bayonne","NJ","US",1
"Bayport","NY","US",1
"Bayside","NY","US",1
"Beaconsfield","ENG","GB",1
"Beaumont","AB","CA",1
"Beaver","PA","US",1
"Bedford","IN","US",1
"Bedford","MA","US",1
"Bedford","TX","US",1
"Bedford Park","IL","US",1
"Bedminster","NJ","US",1
"Belfast","NIR","GB",1
"Belgrade","MT","US",1
"Bell","CA","US",1
"Bell Gardens","CA","US",1
"Bellaire","TX","US",1
"Belle Isle","FL","US",1
"Belle Vernon","PA","US",1
"Bellerose","NY","US",1
"Belleville","ON","CA",1
"Bellevue","TN","US",1
"Beloit","WI","US",1
"Belton","MO","US",1
"Belton","TX","US",1
"Bemidji","MN","US",1
"Benbrook","TX","US",1
"Bennett","CO","US",1
"Benson","AZ","US",1
"Benton","AR","US",1
"Berlin","BE","DE",1
"Bernalillo","NM","US",1
"Bernardsville","NJ","US",1
"Bessemer","AL","US",1
"Bethel","CT","US",1
"Bethel Park","PA","US",1
"Bethlehem","GA","US",1
"Bethlehem","PA","US",1
"Bethpage","NY","US",1
"Bettendorf","IA","US",1
"Bexley","OH","US",1
"Bexleyheath","ENG","GB",1
"Biddeford","ME","US",1
"Biel","BE","CH",1
"Bielany Wroclawskie","DS","PL",1
"Bielefeld","NW","DE",1
"Big Flats","NY","US",1
"Big Rapids","MI","US",1
"Billerica","MA","US",1
"Binghamton","NY","US",1
"Birch Run","MI","US",1
"Bisbee","AZ","US",1
"Bishops Storford","ENG","GB",1
"Black Mountain","NC","US",1
"Blackburn","ENG","GB",1
"Blackhawk","CO","US",1
"Blackpool","ENG","GB",1
"Blaine","MN","US",1
"Blasdell","NY","US",1
"Bloomfield","CT","US",1
"Bloomfield","MI","US",1
"Bloomfield Township","MI","US",1
"Blue Jay","CA","US",1
"Blue Ridge","GA","US",1
"Blythe","CA","US",1
"BLYTHE","CA","US",1
"Boerne","TX","US",1
"Bolling AFB","DC","US",1
"Bolton","ON","CA",1
"Bonaire","GA","US",1
"Bonners Ferry","ID","US",1
"Boone","NC","US",1
"Bordentown","NJ","US",1
"Boulder City","NV","US",1
"Boulogne","O","FR",1
"Bourne","MA","US",1
"Bracknell","ENG","GB",1
"Braintree","ENG","GB",1
"Branchburg","NJ","US",1
"Brantford","ON","CA",1
"Braunschweig","NI","DE",1
"BRAUNSCHWEIG","NI","DE",1
"Brawley","CA","US",1
"Breckenridge","CO","US",1
"Brecksville","OH","US",1
"Breezewood","PA","US",1
"Bremen","HB","DE",1
"Brenham","TX","US",1
"Brevard","NC","US",1
"Briarcliff Manor","NY","US",1
"Brick","NJ","US",1
"Bridgehampton","NY","US",1
"Bridgeton","MO","US",1
"Bridgeville","PA","US",1
"Bridgewater","NJ","US",1
"BRIDGEWATER","NJ","US",1
"Brierley Hill","ENG","GB",1
"Brighton","NY","US",1
"Bristol","CT","US",1
"Broadlands","VA","US",1
"Brockton","MA","US",1
"Brockville","ON","CA",1
"Bronxville","NY","US",1
"Brookfield","NY","US",1
"Brookings","OR","US",1
"Brookings","SD","US",1
"Brooklyn","OH","US",1
"Brooklyn Center","MN","US",1
"Brooklyn Park","MN","US",1
"Brooks","AB","CA",1
"Brooksville","FL","US",1
"Brossard","QC","CA",1
"Broussard","LA","US",1
"Brownsburg","IN","US",1
"Brugges","VLG","BE",1
"Brunswick","ME","US",1
"Brunswick","OH","US",1
"Brussels","VLG","BE",1
"Bryant","AR","US",1
"Bryn Mawr","PA","US",1
"Buckhead","GA","US",1
"Buda","TX","US",1
"Buffalo","MN","US",1
"Bulverde","TX","US",1
"Burgas","02","BG",1
"Burlington","KY","US",1
"Burlington","VT","US",1
"Burnsville","MN","US",1
"Burnsville","NC","US",1
"Burnwell","WV","US",1
"Burpham","ENG","GB",1
"Burr Ridge","IL","US",1
"Burtonsville","MD","US",1
"Bury","ENG","GB",1
"Busan","31","KR",1
"Butte","MT","US",1
"Buttonwillow","CA","US",1
"Byron","CA","US",1
"CABA","C","AR",1
"Cabazon","CA","US",1
"Cabo San Lucas","BCS","MX",1
"Cainta","40","PH",1
"Calamba City","PH","PH",1
"Calexico","CA","US",1
"Calhoun","GA","US",1
"California","MD","US",1
"Callaway","FL","US",1
"Calumet City","IL","US",1
"Camberley","ENG","GB",1
"Camby","IN","US",1
"Camden","NJ","US",1
"Cameron Highlands","06","MY",1
"Canal Winchester","OH","US",1
"Canandaigua","NY","US",1
"Canastota","NY","US",1
"CANOGA PARK","CA","US",1
"Canonsburg","PA","US",1
"Canterbury","ENG","GB",1
"Canton","MA","US",1
"Canton","NC","US",1
"Canyon Country","CA","US",1
"Captiva","FL","US",1
"Cardiff","CA","US",1
"Carleton Place","ON","CA",1
"Carlisle","ENG","GB",1
"Carmel","NY","US",1
"Carnation","WA","US",1
"Carnaxide","11","PT",1
"Carney","MD","US",1
"Carol Stream","IL","US",1
"Carpinteria","CA","US",1
"Carrollton","GA","US",1
"Casa Adobes","AZ","US",1
"Cascais","11","PT",1
"Cashiers","NC","US",1
"Castaic","CA","US",1
"Castle Rocks","CO","US",1
"Castlegar","BC","CA",1
"Catonsville","MD","US",1
"Cave Creek","AZ","US",1
"Cedar City","UT","US",1
"Cedarburg","WI","US",1
"Cedarhurst","NY","US",1
"Celaya","GUA","MX",1
"Celebration","FL","US",1
"Centerville","UT","US",1
"Central","91","CN",1
"Central Islip","NY","US",1
"Central Valley","NY","US",1
"Chaiwan","91","CN",1
"Chalandri","A1","GR",1
"Chalfont","PA","US",1
"Chambersburg","PA","US",1
"Champlin","MN","US",1
"Chappaqua","NY","US",1
"Chargrin Falls","OH","US",1
"Charleston","IL","US",1
"Chaska","MN","US",1
"Chatan","47","JP",1
"Chatujak","10","TH",1
"Cheadle","ENG","GB",1
"Cheektowaga","NY","US",1
"Chelan","WA","US",1
"Chelmsford","ENG","GB",1
"Chelmsford","MA","US",1
"Chelsea","MA","US",1
"Cheltenham","PA","US",1
"Cheras","14","MY",1
"Cheshire","ENG","GB",1
"Chessy","J","FR",1
"Chester","MD","US",1
"Chester","NJ","US",1
"Chichester","ENG","GB",1
"Chiclayo","LAM","PE",1
"Chicopee","MA","US",1
"Chigasaki","14","JP",1
"Chikushino","40","JP",1
"Chillicothe","OH","US",1
"Chimbote","LIM","PE",1
"Chino Valley","AZ","US",1
"Chiryu","23","JP",1
"Chiswell Green","ENG","GB",1
"Chiswick","ENG","GB",1
"Chitose","01","JP",1
"Chofu","13","JP",1
"Chomthong","10","TH",1
"Choonchun","42","KR",1
"Chowchilla","CA","US",1
"Christchurch","S","NZ",1
"Cicero","IL","US",1
"Cicero","NY","US",1
"Cirencester","ENG","GB",1
"Ciudad Obregon","SON","MX",1
"Clarendon Hills","IL","US",1
"Clarion","PA","US",1
"Clark","NJ","US",1
"Clark Summit","PA","US",1
"Clarkesville","GA","US",1
"Clarksburg","WV","US",1
"Clarkston","MI","US",1
"Clarksville","IN","US",1
"Clarksville","MD","US",1
"Clay","NY","US",1
"Clayton","CA","US",1
"Clayton","GA","US",1
"Clayton","NC","US",1
"Clearbrook","BC","CA",1
"Cleburne","TX","US",1
"Clementon","NJ","US",1
"Clemmons","NC","US",1
"Cleveland","GA","US",1
"CLEVELAND","OH","US",1
"Clifton","CO","US",1
"Clifton","VA","US",1
"Clifton Springs","NY","US",1
"Clinton","MD","US",1
"Clinton","MS","US",1
"Clinton","UT","US",1
"Clinton Pointe","MI","US",1
"Clinton Township","MI","US",1
"Closter","NJ","US",1
"Cloverdale","BC","CA",1
"Cloverdale","CA","US",1
"Cluj-Napoca","CJ","RO",1
"Coachella","CA","US",1
"Coalinga","CA","US",1
"Coatzacoalcos","VER","MX",1
"Cockeysville","MD","US",1
"Cocoa Beach","FL","US",1
"Coconut Grove","FL","US",1
"Cody","WY","US",1
"Cohasset","MA","US",1
"Colby","KS","US",1
"Cold Spring","KY","US",1
"Colfax","CA","US",1
"Colima","COL","MX",1
"Collegeville","PA","US",1
"Colleyville","TX","US",1
"Collinsville","IL","US",1
"Colonial Heights","VA","US",1
"Columbus","NE","US",1
"Colville","WA","US",1
"Commerce","CA","US",1
"Commerce","GA","US",1
"Commerce Township","MI","US",1
"Concord","MA","US",1
"Concord","NH","US",1
"Conshohocken","PA","US",1
"Converse","TX","US",1
"Coolidge","AZ","US",1
"Copenhagen","84","DK",1
"Coppell","TX","US",1
"Copperas Cove","TX","US",1
"Coralville","IA","US",1
"Corley","ENG","GB",1
"Cornelia","GA","US",1
"Cornelias","OR","US",1
"Cornelius","OR","US",1
"Corning","CA","US",1
"Corona Del Mar","CA","US",1
"Coronado","CA","US",1
"Cos Cob","CT","US",1
"Cotati","CA","US",1
"Cottage Grove","MN","US",1
"Cottage Grove","OR","US",1
"Cottonwood","AZ","US",1
"Council BLuffs","IA","US",1
"Covingtion","WA","US",1
"Covington","KY","US",1
"Cozumel","ROO","MX",1
"Cranston","RI","US",1
"Crawley","ENG","GB",1
"Crescent City","CA","US",1
"Crestview","FL","US",1
"Crestview Hills","KY","US",1
"Crestwood","IL","US",1
"Crestwood","KY","US",1
"Crestwood","MO","US",1
"Crete","M","GR",1
"Creve Coeur","MO","US",1
"Crosby","TX","US",1
"Crown Point","IN","US",1
"Cullman","AL","US",1
"Cullowhee","NC","US",1
"Cusco","CUS","PE",1
"Cutler Bay","FL","US",1
"D'Iberville","MS","US",1
"Daegu Gwang`Yeogsi","27","KR",1
"Dahlonega","GA","US",1
"Daisen","05","JP",1
"Dale City","VA","US",1
"Dallas","GA","US",1
"Damascus","MD","US",1
"Damascus","OR","US",1
"Daphne","AL","US",1
"Dardenne","MO","US",1
"Darien","CT","US",1
"Darlington","ENG","GB",1
"DARMSTADT","HE","DE",1
"Darnestown","MD","US",1
"Davao City","05","PH",1
"Davenport","FL","US",1
"Davidson","NC","US",1
"Davison","MI","US",1
"Dawson Creek","BC","CA",1
"Dawsonville","GA","US",1
"Dayton","NV","US",1
"Dayuan Township","TAO","TW",1
"Dayville","CT","US",1
"De Meern","UT","NL",1
"De Pere","WI","US",1
"Decatur","TX","US",1
"Dedham","MA","US",1
"Deer Park","IL","US",1
"Deer Park","TX","US",1
"Deerfield","IL","US",1
"Delano","CA","US",1
"Delavan","WI","US",1
"Delaware","OH","US",1
"DELAWARE","OH","US",1
"Delhi","JK","ID",1
"Delran","NJ","US",1
"Delson","QC","CA",1
"Depok","JB","ID",1
"Derby","CT","US",1
"Des Peres","MO","US",1
"Desert Hot Springs","CA","US",1
"Desoto","TX","US",1
"DeSoto","TX","US",1
"Deventer","OV","NL",1
"Devon","PA","US",1
"Dickinson","TX","US",1
"Dickson City","PA","US",1
"Dillon","MT","US",1
"Dinuba","CA","US",1
"DKI Jakarta","JK","ID",1
"Dobbs Ferry","NY","US",1
"Dollard-des-ormeaux","QC","CA",1
"Dongducheon","41","KR",1
"Dortmund","NW","DE",1
"Dorval","QC","CA",1
"Doswell","VA","US",1
"Dothan","AL","US",1
"Douglasville","GA","US",1
"Dover","DE","US",1
"Dover","NH","US",1
"Draper","UT","US",1
"Dresher","PA","US",1
"Dryden","ON","CA",1
"Dublin","GA","US",1
"Dudley","ENG","GB",1
"Dukyang","41","KR",1
"Dulles","VA","US",1
"Dumont","CO","US",1
"Duncanville","TX","US",1
"Dundas","ON","CA",1
"Dundee","SCT","GB",1
"Dunedin","N","NZ",1
"Dunfermline","SCT","GB",1
"Dupont","WA","US",1
"DuPont","WA","US",1
"Dusit","10","TH",1
"Dyer","IN","US",1
"E Wenatchee","WA","US",1
"Eagle","CO","US",1
"East Amherst","NY","US",1
"East Brunswick","NJ","US",1
"East Grand Rapids","MI","US",1
"East Greenwich","RI","US",1
"East Hampton","NY","US",1
"East Hanover","NJ","US",1
"East Kilbride","SCT","GB",1
"East Longmeadow","MA","US",1
"East Norriton","PA","US",1
"East Peoria","IL","US",1
"East Ridgefield","NJ","US",1
"East Setauket","NY","US",1
"East Wenatchee","WA","US",1
"Easton","MA","US",1
"Ecatepec","MX","MX",1
"Edgbaston","ENG","GB",1
"Edgemont","PA","US",1
"Edgewater","NJ","US",1
"Edgewood","NM","US",1
"Edingurgh","SCT","GB",1
"Edwards","CA","US",1
"Edwards","CO","US",1
"Effingham","IL","US",1
"Eglin AFB","FL","US",1
"Eindhoven","NB","NL",1
"El Jebel","CO","US",1
"El Sobrante","CA","US",1
"Elgin","SCT","GB",1
"Elizabeth","CO","US",1
"Elizabeth","NJ","US",1
"Elizabeth City","NC","US",1
"Elkridge","MD","US",1
"Ellenton","FL","US",1
"Ellijay","GA","US",1
"Elstree","ENG","GB",1
"Elyria","OH","US",1
"Emmett","ID","US",1
"Emporia","KS","US",1
"Ena","21","JP",1
"Enfield","CT","US",1
"Enfield","NS","CA",1
"Englewood","NJ","US",1
"Englewood","OH","US",1
"Enid","OK","US",1
"Ephrata","WA","US",1
"Epping","NH","US",1
"Epsom","ENG","GB",1
"Erlangen","BY","DE",1
"Escalon","CA","US",1
"Eskisehir","26","TR",1
"Essen","NW","DE",1
"Essex","ENG","GB",1
"Esslingen","BW","DE",1
"Etobicoke","ON","CA",1
"Everett","MA","US",1
"Evesham","NJ","US",1
"Exmouth","ENG","GB",1
"Ezeiza","B","AR",1
"Fairborn","OH","US",1
"Fairchild AFB","WA","US",1
"Fairfield","OH","US",1
"Fairview","TX","US",1
"Falcon","CO","US",1
"Fallbrook","CA","US",1
"Fallon","NV","US",1
"Falmouth","MA","US",1
"Falmouth","ME","US",1
"Farmington","CT","US",1
"Farmington","MI","US",1
"Farmington","UT","US",1
"Farmington Hills","MI","US",1
"Farnborough","ENG","GB",1
"Farnham","ENG","GB",1
"Fayetteville","NY","US",1
"Feasterville","PA","US",1
"Federal Heights","CO","US",1
"Feltham","ENG","GB",1
"Fenton","MO","US",1
"Ferndale","WA","US",1
"Fernley","NV","US",1
"Fife","WA","US",1
"Fillmore","CA","US",1
"Fishkill","NY","US",1
"Flat Rock","NC","US",1
"Fletcher","NC","US",1
"Florence","AZ","US",1
"Florence","KY","US",1
"Florence","OR","US",1
"Florham Park","NJ","US",1
"Florida City","FL","US",1
"Florissant","MO","US",1
"Flourtown","PA","US",1
"Flowery Branch","GA","US",1
"Foley","AL","US",1
"Fond du Lac","WI","US",1
"Fond Du Lac","WI","US",1
"Foothill Ranch","CA","US",1
"Forest City","NC","US",1
"Forest Grove","OR","US",1
"Forest Lake","MN","US",1
"Forest Park","IL","US",1
"Forest Park","OH","US",1
"Forked River","NJ","US",1
"Forney","TX","US",1
"Fort Bragg","CA","US",1
"Fort Campbell","KY","US",1
"FORT CAMPBELL","KY","US",1
"Fort Carson","CO","US",1
"Fort Dodge","IA","US",1
"Fort Eustis","VA","US",1
"Fort Frances","ON","CA",1
"Fort Gordon","GA","US",1
"Fort Huachuca","AZ","US",1
"Fort Irwin","CA","US",1
"Fort Knox","KY","US",1
"Fort Leavenworth","KS","US",1
"Fort Lewis","WA","US",1
"Fort Lupton","CO","US",1
"Fort Mitchell","KY","US",1
"Fort Mohave","AZ","US",1
"Fort Richardson","AK","US",1
"Fort Sam Houston","TX","US",1
"Fort Smith","AR","US",1
"Fort St John","BC","CA",1
"Fort Union","UT","US",1
"Fort Wainwright","AK","US",1
"Fort Washington","MD","US",1
"Fortress Hill","91","CN",1
"Fortuna","CA","US",1
"Fountain","CO","US",1
"Fountain City","TN","US",1
"Fowler","CA","US",1
"Fox Point","WI","US",1
"Frankfort","IL","US",1
"Frankfurt","HE","DE",1
"Franklin","IN","US",1
"Franklin","NJ","US",1
"Franklin","OH","US",1
"Franklin","VA","US",1
"Franklin Lakes","NJ","US",1
"Franklin Square","NY","US",1
"Franklin TWP","NJ","US",1
"Fraser","CO","US",1
"Frederick","CO","US",1
"Frederickson","WA","US",1
"Fredericton","NB","CA",1
"Fredonia","NY","US",1
"Freeport","ME","US",1
"Fremont","NE","US",1
"Fresh Meadows","NY","US",1
"Fribourg","FR","CH",1
"Frisco","CO","US",1
"Ft Benning","GA","US",1
"Ft Collins","CO","US",1
"Ft Myers","FL","US",1
"Ft Worth","TX","US",1
"Ft. Benning","GA","US",1
"Ft. Irwin","CA","US",1
"Ft. Lauderdale","FL","US",1
"Ft. Leonard Wood","MO","US",1
"Ft. Mill","SC","US",1
"Ft. Polk","LA","US",1
"Ft. Riley","KS","US",1
"Ft. Smith","AR","US",1
"Ft. Wayne","IN","US",1
"Fuchu","13","JP",1
"Fujairah","FU","AE",1
"Fujimino","11","JP",1
"Fujinomiya","22","JP",1
"Fukutsu","40","JP",1
"Fultondale","AL","US",1
"Fuquay-Varina","NC","US",1
"Fuso","23","JP",1
"Fussa","13","JP",1
"Futtsu","12","JP",1
"Gaffney","SC","US",1
"Gahanna","OH","US",1
"Gainesville","TX","US",1
"Galloway","OH","US",1
"Gallup","NM","US",1
"Garden City","ID","US",1
"Garden City","KS","US",1
"Gardermoen","03","NO",1
"Gardnerville","NV","US",1
"Garfield Heights","OH","US",1
"Garner","NC","US",1
